Site_Name,Station,Ntwk,Elev,Lat,Lon,installed,County
American Beauty - Aerial Marker,15J17,SNOW ,7800,40.53,-115.46,1964,ELKO
Baker Creek #1,14L01,SNOW ,7950,38.97,-114.25,1942,WHITE PINE
Baker Creek #2,14L02,SNOW ,8950,38.97,-114.28,1942,WHITE PINE
Baker Creek #3,14L03,SNOW ,9250,38.97,-114.29,1942,WHITE PINE
Baker Creek #3 AM,14L03A,SNOW ,1983,38.97,-114.28,2014,WHITE PINE
Bald Mt.,19H01,SNOW ,6720,41.78,-119.62,1940,HUMBOLDT
Bear Creek,15H01S,SNTL ,8040,41.83,-115.45,1979,ELKO
Berry Creek,14K02S,SNTL ,9100,39.32,-114.62,1980,WHITE PINE
Big Bend,15H04S,SNTL ,6700,41.76,-115.69,1979,ELKO
Big Creek Campground,17K01,SNOW ,6696,39.35,-117.14,1942,LANDER
Big Creek Mine,17K02,SNOW ,7735,39.31,-117.12,1942,LANDER
Big Creek Sum,17K04S,SNTL ,8695,39.29,-117.11,1980,LANDER
Big Meadow,19K08S,SNTL ,8249,39.46,-119.94,1984,WASHOE
Bird Creek,14K01,SNOW ,7500,39.46,-114.65,1948,WHITE PINE
Bird Creek,14K01S,SNTL ,7500,39.46,-114.65,2011,WHITE PINE
Bristlecone Trail,15N09S,SNTL ,8979,36.32,-115.7,2008,CLARK
Buckskin Lower,17H02S,SNTL ,6915,41.75,-117.53,1980,HUMBOLDT
Cave Mountain,14K08S,SNTL ,10583,39.16,-114.61,2011,WHITE PINE
Clear Creek,19K05,SNOW ,7284,39.11,-119.89,1949,DOUGLAS
Columbia Basin,16H06S,SNTL ,6650,41.67,-116.07,2012,ELKO
Columbia Basin - Aerial Marker,16H06,SNOW ,6650,41.67,-116.07,1964,ELKO
Corduroy Flat,15L02S,SNTL ,8720,39,-115.42,2012,WHITE PINE
Corduroy Flat Aerial,15L02,SNOW ,8720,39,-115.42,1983,WHITE PINE
Corral Canyon,15J12S,SNTL ,8500,40.28,-115.53,1979,ELKO
Defiance Mines,14K09S,SNTL ,9200,39.09,-114.9,2012,WHITE PINE
"Defiance Mines, Aerial Marker",14K09,SNOW ,9200,39.09,-114.9,1970,WHITE PINE
Diamond Peak,15K03S,SNTL ,8033,39.56,-115.84,1984,WHITE PINE
Disaster Peak,18H01S,SNTL ,6500,41.97,-118.19,1980,HUMBOLDT
Dorsey Basin,15J01S,SNTL ,8100,40.89,-115.2,1979,ELKO
Draw Creek,15H24S,SNTL ,7200,41.66,-115.32,1983,ELKO
Dry Creek,15J03,SNOW ,6500,40.86,-115.22,1933,ELKO
Dry Creek,15j03S,SNTL ,6500,40.86,-115.22,2013,ELKO
Fawn Creek,16H08S,SNTL ,7000,41.82,-116.1,1980,ELKO
Forty Nine Mtn.,19H03,SNOW ,6000,41.57,-119.82,1958,WASHOE
