Site_Name,Station,Ntwk,Elev,Lat,Lon
Ahtanum R.S.,21C11,SNOW ,3100,46.52,-121.02
Alpine Meadow,21B48,SNOW ,3500,47.78,-121.7
Alpine Meadows,21B48S,SNTL ,3500,47.78,-121.7
Baird #2,17A07,SNOW ,3159,48.61,-117.55
Beaver Creek Trail,21A04,SNOW ,2200,48.82,-121.19
Beaver Pass,21A01,SNOW ,3621,48.88,-121.26
Beaver Pass,21A01S,SNTL ,3630,48.88,-121.26
Blewett Pass,20B02S,SNTL ,4240,47.35,-120.68
Bonaupart South,19A24,SNOW ,4740,48.73,-119.17
Boyer Mountain,17A02,SNOW ,5250,48.19,-117.43
Brown Top,21A28S,SNTL ,5830,48.93,-121.2
Brown Top Ridge AM,21A28,SNOW ,6000,48.93,-121.2
Browns Pass,19A20,SNOW ,3940,48.48,-119.33
Buckinghorse,23B18S,SNTL ,4870,47.71,-123.46
Bumping Lake New,21C36,SNOW ,3400,46.88,-121.28
Bumping Ridge,21C38S,SNTL ,4610,46.81,-121.33
Bunchgrass Mdw,17A01S,SNTL ,5000,48.69,-117.18
Burnt Mountain,21B63S,SNTL ,4170,47.04,-121.94
Butte Ck #2,18A16,SNOW ,4070,48.85,-118.37
Buttermilk Butte,20A42,SNOW ,5250,48.3,-120.32
Calamity,22D01S,SNTL ,2500,45.9,-122.22
Cayuse Pass,21C06,SNOW ,5270,46.87,-121.53
Cayuse Pass,21C41S,SNTL ,5240,46.87,-121.53
Chamokane 2,18A23,SNOW ,3550,48.12,-118.01
Chewelah 2,17A08,SNOW ,4925,48.3,-117.59
Chiwaukum G.S.,20B16,SNOW ,1810,47.69,-120.74
City Cabin,21B03,SNOW ,2390,47.32,-121.52
Cloudy Pass AM,20A22,SNOW ,6500,48.21,-120.92
Cold Creek Strip,19A18,SNOW ,6020,48.92,-119.78
Colockum Pass,20B09,SNOW ,5370,47.2,-120.28
Corral Pass,21B13S,SNTL ,5800,47.02,-121.46
Cougar Mountain,21B42S,SNTL ,3200,47.28,-121.67
Cox Valley,23B14,SNOW ,4500,47.97,-123.48
Deer Park,23B04,SNOW ,5346,47.95,-123.26
Devils Park,20A04,SNOW ,5900,48.75,-120.86
Disautel Pass,19A19,SNOW ,3310,48.28,-119.15
Dock Butte AM,21A11,SNOW ,3800,48.63,-121.8
Dommerie Flats,21B14,SNOW ,2200,47.22,-121.05
Duncan Ridge,19A16,SNOW ,5370,48.86,-119.8
Dungeness,23B16S,SNTL ,4010,47.87,-123.08
Easy Pass,21A07S,SNTL ,5270,48.86,-121.44
Easy Pass AM,21A07,SNOW ,5390,48.86,-121.44
Elbow Lake,21A32S,SNTL ,3040,48.69,-121.91
Fish Lake,21B04,SNOW ,3300,47.53,-121.09
Fish Lake,21B04S,SNTL ,3430,47.54,-121.09
Freezeout Cr. Tr.,20A01,SNOW ,3500,48.95,-120.93
Frost Meadows Snow Course,21B61,SNOW ,4630,47.06,-121.01
Goat Creek,18A04,SNOW ,3600,48.85,-118.33
Gold Axe Camp,18A26S,SNTL ,5360,48.95,-118.99
Gold Mountain,18A19S,SNTL ,4390,48.19,-118.46
