Site_Name,Station,Ntwk,Elev,Lat,Lon,installed,County
Antero,05L05,SNOW ,9300,38.92,-105.97,1949,PARK
Antero Reservoir,05L06,SNOW ,9000,39,-105.88,1983,PARK
Apishapa,05M07S,SNTL ,10000,37.33,-105.07,1980,HUERFANO
Arapaho Ridge,06J08S,SNTL ,10960,40.35,-106.38,2002,GRAND
Baltimore,05K23,SNOW ,8800,39.9,-105.58,1961,GILPIN
Bear Lake,05J39S,SNTL ,9500,40.31,-105.64,1980,LARIMER
Bear River,07J03S,SNTL ,9080,40.06,-107.01,2005,ROUTT
Beartown,07M32S,SNTL ,11600,37.71,-107.51,1980,MINERAL
Beaver Ck Village,06K45S,SNTL ,8500,39.6,-106.51,2003,EAGLE
Bennett Creek,05J33,SNOW ,9200,40.67,-105.62,1966,LARIMER
Berthoud Falls,05K13,SNOW ,10500,39.78,-105.78,1951,CLEAR CREEK
Berthoud Pass,05K03,SNOW ,9700,39.83,-105.75,1936,GRAND
Berthoud Summit,05K14,SNOW ,11300,39.8,-105.78,1951,GRAND
Berthoud Summit,05K14S,SNTL ,11300,39.8,-105.78,1979,GRAND
Big Meadows,06M25,SNOW ,9260,37.53,-106.8,1969,MINERAL
Big South,05J03,SNOW ,8600,40.62,-105.82,1936,LARIMER
Bison Lake,07K12S,SNTL ,10880,39.76,-107.36,1986,GARFIELD
Black Mesa,08M12S,SNTL ,11580,37.79,-108.18,2012,DOLORES
Black Mountain,05J28S,SNTL ,8920,40.89,-105.66,2011,LARIMER
Blue River,06K21,SNOW ,10500,39.38,-106.05,1957,SUMMIT
Boulder Falls,05J25,SNOW ,10000,40.02,-105.57,1952,BOULDER
Brown Cabin,05M04,SNOW ,9600,37.55,-105.4,1965,COSTILLA
Brumley,06K40S,SNTL ,10600,39.09,-106.54,1980,LAKE
Buckskin Joe,06K16S,SNTL ,11150,39.3,-106.11,1999,PARK
Buffalo Park,06J18S,SNTL ,9240,40.23,-106.6,1995,GRAND
Burro Mountain,07K02S,SNTL ,9400,39.88,-107.6,1979,RIO BLANCO
Butte,06L11S,SNTL ,10160,38.89,-106.95,1980,GUNNISON
Butterhill,06J37,SNOW ,7880,40.93,-106.98,1976,ROUTT
Cameron Pass,05J01,SNOW ,10285,40.52,-105.57,1936,JACKSON
