reservoir,lat,lng,state
"Lake Coeur d'Alene",47.533461,-116.809122,ID
"Lake Pend Oreille",48.166667,-116.333333,ID
"Priest Lake",48.566667,-116.866667,ID
Dworshak,46.515,-116.296,ID
Magic,43.26,-114.36,ID
Blackfoot,43,-111.72,ID
Oakley,42.2,-113.92,ID
"Salmon Falls",42.21,-114.73,ID
Brownlee,44.83,-116.9,ID
"Bear Lake",42.12,-111.3,ID
Montpelier,42.35,-111.18,ID
Conconully,48.53807,-119.749,WA
"Lake Chelan",47.841111,-120.046389,WA
Keechelus,47.3477,-121.3691,WA
Kachess,47.264167,-121.205833,WA
"Cle Elum",47.282,-121.1075,WA
"Bumping Lake",46.8513,-121.3193,WA
Rimrock,46.656389,-121.129444,WA
Ross,48.731667,-121.067222,WA
Diablo,48.714167,-121.13111,WA
"Wallowa Lake",45.308889,-117.210556,OR
"Wolf Creek",45.05,-118.02,OR
"Willow Creek",45.35,-119.54,OR
"Clear Lake",45.17,-121.69,OR
"Blue River",44.17,-122.33,OR
"Cottage Grove",43.72,-123.05,OR
Cougar,44.13,-122.24,OR
Detroit,44.72,-122.25,OR
Dorena,43.79,-122.95,OR
"Fall Creek",43.95,-122.76,OR
"Fern Ridge",44.12,-123.3,OR
Foster,44.42,-122.67,OR
Applegate,42.05,-123.12,OR
"Lost Creek",42.76,-122.67,OR
Cottonwood,42.24,-120.51,OR
Abiquiu,36.24,-106.43,NM
"Bluewater Lake",35.29,-108.11,NM
"Brantley Lake",32.54,-104.38,NM
"Cochiti Lake",35.62,-106.32,NM
"Conchas Lake",35.4,-104.19,NM
Costilla,36.88,-105.28,NM
"Eagle Nest Lake",36.53,-105.23,NM
"El Vado",36.59,-106.73,NM
Heron,36.67,-106.71,NM
"Lake Avalon",32.49,-104.25,NM
Lahontan,39.46,-119.07,NV
"Rye Patch",40.47,-118.31,NV
"Big Sand Wash",40.3,-110.22,UT
"Cleveland Lake",39.58,-111.24,UT
Grantsville,40.54,-112.51,UT
Gunlock,37.25,-113.78,UT
Gunnison,39.21,-111.71,UT
"Ken's Lake",38.48,-109.43,UT
Kolob,37.43,-113.04,UT
"Lower Enterprise",37.53,-113.85,UT
"Miller Flat",39.54,-111.24,UT
Millsite,39.1,-111.19,UT
Minersville,38.22,-112.84,UT
"Otter Creek",38.17,-112.02,UT
"Panguitch Lake",37.72,-112.63,UT
Piute,38.32,-112.19,UT
Porcupine,41.52,-111.75,UT
"Quail Creek",37.18,-113.38,UT
"Sand Hollow",37.11,-113.37,UT
"Sevier Bridge",39.37,-112.03,UT
"Smith and Morehouse",40.76,-111.1,UT
"Upper Enterprise",37.52,-113.86,UT
"Utah Lake",40.36,-111.89,UT
"Willard Bay",41.4,-112.08,UT
"Woodruff Creek",41.47,-111.32,UT
"Woodruff Narrows",41.5,-111.02,WY
"Bull Lake",43.21,-109.04,WY
Boysen,43.42,-108.18,WY
"Pilot Butte",43.2,-108.76,WY
"Buffalo Bill",44.5,-109.18,WY
Keyhole,44.38,-104.78,WY
Seminoe,42.16,-106.91,WY
Pathfinder,42.47,-106.85,WY
Alcova,42.55,-106.72,WY
Glendo,42.48,-104.95,WY
Guernsey,42.29,-104.77,WY
"High Savery",41.28,-107.3,WY
"Viva Naughton",41.97,-110.65,WY
"Wheatland #2",41.84,-105.64,WY
