reservoir,lat,lng,state
"Big Sandy",42.2503,-109.4283,WY
Fontenelle,42.033333,-110.066667,WY
"Meeks Cabin",41.02555,-110.58024,WY
"Grassy Lake",44.130978,-110.818825,WY
"Jackson Lake",43.857647,-110.589594,WY
"Woodruff Narrows",41.5,-111.02,WY
"Bull Lake",43.21,-109.04,WY
Boysen,43.42,-108.18,WY
"Pilot Butte",43.2,-108.76,WY
"Buffalo Bill",44.5,-109.18,WY
Keyhole,44.38,-104.78,WY
Seminoe,42.16,-106.91,WY
Pathfinder,42.47,-106.85,WY
Alcova,42.55,-106.72,WY
Glendo,42.48,-104.95,WY
Guernsey,42.29,-104.77,WY
"High Savery",41.28,-107.3,WY
"Viva Naughton",41.97,-110.65,WY
"Wheatland #2",41.84,-105.64,WY
