reservoir,lat,lng,state
"Upper Klamath",42.25,-121.815,CA
Gerber,42.205,-121.13,CA
"Clear Lk   Klamath R",41.927,-121.075,CA
Dwinnell,41.541,-122.376,CA
"Trinity Lake",40.801,-122.762,CA
Lewiston,40.727,-122.793,CA
"Lake Pillsbury",39.408,-122.958,CA
"Lake Mendocino",39.199,-123.182,CA
"Warm Springs",38.723,-123.01,CA
"Soulajule Dam",38.153,-122.782,CA
Nicasio,38.075,-122.757,CA
Kent,37.997,-122.702,CA
"Bon Tempe",37.957,-122.61,CA
"Lagunitas Lake",37.947,-122.597,CA
"Alpine Lake",37.94,-122.67,CA
"Lake Hennessey",38.482,-122.372,CA
"Briones Dam",37.9,-122.2,CA
"U San Leandro",37.778,-122.122,CA
Chabot,37.73,-122.122,CA
"Del Valle",37.614,-121.745,CA
"San Antonio Reservoir",37.573,-121.848,CA
Calaveras,37.492,-121.818,CA
"Lexington Reservoir",37.202,-121.988,CA
"Leroy Anderson",37.165,-121.632,CA
"Coyote Res Sta Clara",37.118,-121.549,CA
"Lower Crystal Springs Reservoir",37.53,-122.36,CA
"San Pablo",37.958,-122.333,CA
"San Andreas",37.578,-122.412,CA
"Lake San Antonio",35.798,-120.883,CA
"Whale Rock",35.45,-120.883,CA
"Santa Margarita Lake",35.333,-120.502,CA
Nacimiento,35.758,-120.884,CA
"Lake Jennings",32.854,-116.892,CA
Twitchell,34.983,-120.317,CA
"Cachuma Lake",34.583,-119.98,CA
"Gibraltar Dam",34.526,-119.686,CA
"Matilija Dam",34.486,-119.307,CA
Casitas,34.373,-119.332,CA
Pyramid,34.633,-118.75,CA
"Bouquet Canyon",34.54,-118.5,CA
Castaic,34.5152,-118.6101,CA
"Lake Piru",34.461,-118.751,CA
"Cogswell Reservoir",34.245,-117.965,CA
"San Gabriel",34.207,-117.858,CA
"Lake Mathews",33.833,-117.46,CA
Perris,33.858,-117.183,CA
"Lake Hemet",33.666,-116.705,CA
"Bear Valley Dam",34.242,-116.978,CA
"Santiago Creek Res",33.785,-117.723,CA
"Railroad Canyon",33.675,-117.272,CA
"Diamond Valley",33.67,-117.066,CA
"Vail Lake",33.496,-116.976,CA
"Sutherland Reservoir",33.118,-116.787,CA
"Lake Hodges",33.046,-117.128,CA
Skinner,33.583,-117.122,CA
Henshaw,33.24,-116.762,CA
"Cuyamaca Dam",32.99,-116.587,CA
"San Vicente",32.912,-116.924,CA
Miramar,32.9,-117.1,CA
"El Capitan Dam",32.882,-116.808,CA
"Murray Res",32.782,-117.047,CA
"Morena Dam",32.683,-116.55,CA
Barrett,32.678,-116.669,CA
"Loveland Reservoir",32.779,-116.792,CA
"Sweetwater Reservoir",32.692,-117.007,CA
"Lower Otay",32.609,-116.927,CA
"Shasta Dam",40.718,-122.42,CA
"Keswick Reservoir",40.601,-122.443,CA
"Whiskeytown Dam",40.598,-122.537,CA
"Lake Mccloud",41.135,-122.074,CA
"Iron Canyon",41.045,-121.981,CA
"Lake Britton",41.022,-121.676,CA
"Black Butte",39.808,-122.329,CA
"Stony Gorge Reservoir",39.583,-122.533,CA
"East Park Reservoir",39.367,-122.517,CA
"Mountain Meadows",40.283,-121.017,CA
"Lake Almanor",40.218,-121.173,CA
"Butt Valley",40.187,-121.186,CA
