reservoir,lat,lng,state
"Antelope Lake",40.18,-120.607,CA
"Bucks Lake Storage",39.897,-121.202,CA
"Lake Davis",39.883,-120.467,CA
"Frenchman Dam",39.883,-120.183,CA
"Little Grass Valley",39.724,-121.019,CA
"Sly Creek",39.584,-121.116,CA
"Oroville Dam",39.54,-121.493,CA
"Thermalito  Total",39.458,-121.638,CA
"Bowman Lake",39.45,-120.652,CA
"Lake Spaulding S Yuba System",39.441,-120.658,CA
"French Lake",39.44,-120.544,CA
"New Bullards Bar",39.393,-121.14,CA
"Scotts Flat",39.274,-120.917,CA
"Englebright",39.239,-121.267,CA
Rollins,39.135,-120.948,CA
"Bear River At Camp Far West Dam",39.05,-121.317,CA
"French Meadows",39.112,-120.468,CA
"Hell Hole",39.058,-120.407,CA
"Loon Lake",38.983,-120.323,CA
"Union  Valley",38.864,-120.438,CA
"Ice House",38.824,-120.359,CA
"Slab Creek",38.7725,-120.6994,CA
"Caples Lake",38.707,-120.048,CA
"Folsom Lake",38.683,-121.183,CA
"Lake Natoma",38.65,-121.183,CA
"Indian Valley",39.083,-122.533,CA
"Clear Lk   Cache Creek",38.957,-122.642,CA
Berryessa,38.513,-122.104,CA
"Los Vaqueros Reservoir",37.838,-121.726,CA
"Jenkinson Lake",38.713,-120.56,CA
"Lower Bear",38.538,-120.257,CA
"Salt Springs",38.497,-120.216,CA
Pardee,38.25,-120.85,CA
"Camanche Reservoir",38.225,-121.021,CA
"New Hogan Lake",38.152,-120.812,CA
"Spicer Meadows",38.393,-119.998,CA
Donnells,38.329,-119.96,CA
Relief,38.267,-119.733,CA
"Beardsley Lake",38.203,-120.075,CA
Strawberry,38.2,-119.983,CA
"New Melones Reservoir",37.9481,-120.525,CA
Tulloch,37.875,-120.603,CA
"Cherry Lake",37.976,-119.913,CA
"Lake Eleanor",37.974,-119.88,CA
"Hetch Hetchy",37.95,-119.783,CA
"Don Pedro Reservoir",37.702,-120.421,CA
"Modesto Reservoir",37.657,-120.675,CA
"Turlock Lake",37.6,-120.583,CA
"Lake Mcclure",37.584,-120.267,CA
"Buchanan Dam",37.213,-119.97,CA
"Hidden Dam",37.2,-119.917,CA
"Thomas A Edison",37.37,-118.987,CA
"Mammoth Pool",37.329,-119.328,CA
"Crane Valley",37.283,-119.517,CA
"Florence Lake",37.267,-118.967,CA
"Huntington Lake",37.228,-119.221,CA
"Shaver Lake",37.145,-119.302,CA
"Redinger Lake",37.145,-119.449,CA
"Friant Dam",37.001,-119.705,CA
"San Luis Reservoir",37.033,-121.133,CA
"Oneill Forebay",37.067,-121.067,CA
"San Luis Reservoir",37.001,-121.002,CA
"Los Banos",37.05,-120.867,CA
"Courtright",37.072,-118.967,CA
Wishon,37.005,-118.969,CA
"Pine Flat Dam",36.833,-119.325,CA
"Terminus Dam",36.415,-119.002,CA
"Success Dam",36.061,-118.922,CA
"Isabella Dam",35.646,-118.473,CA
Stampede,39.471,-120.103,CA
"Boca Reservoir",39.383,-120.1,CA
"Prosser Creek Reservoir",39.3794,-120.1367,CA
"Lake Tahoe",39.181,-120.118,CA
"Bridgeport Reservoir",38.325,-119.211,CA
"Saddlebag Lake Reservoir",37.966,-119.272,CA
"Grant Lake",37.862,-119.102,CA
"Gem  Lake",37.752,-119.14,CA
"Lake Crowley",37.604,-118.707,CA
"South Lake",37.1759033203125,-118.562660217285,CA
"Tinemaha Reservoir",37.058,-118.225,CA
Haiwee,36.137,-117.948,CA
"Lake Silverwood",34.304,-117.318,CA
Abilene,32.234444,-99.888611,TX
Addicks,29.7907839,-95.6235563,TX
"Alan Henry",33.062778,-101.047222,TX
Amistad,29.4502245,-101.0578773,TX
"Amon G Carter",33.4692751,-97.865869,TX
Aquilla,31.9134913,-97.2086193,TX
Arlington,32.7220762,-97.2000126,TX
Arrowhead,33.764167,-98.371389,TX
Athens,32.210556,-95.765,TX
Austin,30.2940958,-97.7861177,TX
"B A Steinhagen",30.85,-94.19,TX
Bardwell,32.2859792,-96.6644353,TX
Belton,31.1085113,-97.4725099,TX
Benbrook,32.6531887,-97.4566869,TX
"Bob Sandlin",33.08,95.001944,TX
Bonham,33.645278,-96.163889,TX
"Brady Creek",31.138056,-99.385278,TX
Bridgeport,33.2215039,-97.8311465,TX
Brownwood,31.836944,-99.003611,TX
Buchanan,30.751833,-98.418667,TX
Caddo,32.71,-94.01,TX
Canyon,29.881389,-98.24,TX
"Cedar Creek",32.3637,-96.1747,TX
"Champion Creek",32.281389,-100.858333,TX
"Choke Canyon",28.5,-98.35,TX
Cisco,32.4392955,-98.9842344,TX
Coleman,32.03,-99.465,TX
"Coleto Creek",28.727167,-97.170333,TX
"Colorado City",32.344722,-100.919444,TX
Conroe,30.3579852,-95.6116111,TX
"Corpus Christi",28.099,-97.889167,TX
Crook,33.7281602,-95.5674583,TX
"Cypress Springs",33.0578984,-95.1407735,TX
"E V Spence",31.879444,100.516944,TX
"Eagle Mountain",32.8754048,-97.4677985,TX
"Elephant Butte",33.153969,-107.192113,TX
Falcon,26.558889,-99.164722,TX
Fork,32.804167,-95.539444,TX
"Fort Phantom Hill",32.6167874,-99.6686989,TX
Georgetown,30.6668589,-97.7238998,TX
Graham,33.134444,-98.613333,TX
Granbury,32.3737517,-97.6878042,TX
Granger,30.701667,-97.340556,TX
Grapevine,32.972222,-97.056667,TX
Greenbelt,35.0044944,-100.8968112,TX
Halbert,32.0762647,-96.4055369,TX
"Hords Creek",31.8351456,-99.5595147,TX
Houston,29.958833,-95.148833,TX
"Houston County",31.4068455,-95.6052294,TX
"Hubbard Creek",32.831389,98.9675,TX
"Hubert H Moss",33.773889,-97.213889,TX
Inks,30.7310154,-98.384751,TX
"J B Thomas",32.593056,-101.137778,TX
Jacksonville,31.908333,95.309722,TX
"Jim Chapman",33.333333,-95.625,TX
"Joe Pool",32.6445785,-96.9930615,TX
Kemp,33.758333,-99.150833,TX
Kickapoo,33.661111,-98.776111,TX
"Lake O' The Pines",32.770833,-94.543611,TX
Lavon,33.0320638,-96.4810986,TX
Leon,32.363611,98.675278,TX
Lewisville,33.069167,-96.964444,TX
Limestone,31.325278,-96.3175,TX
Livingston,30.74,-95.15,TX
"Lost Creek",33.243333,-98.119722,TX
"Lyndon B Johnson",30.555556,-98.337778,TX
Mackenzie,34.545278,-101.437778,TX
Martin,32.261667,-94.573056,TX
Medina,29.540278,-98.933611,TX
Meredith,35.7142084,-101.552948,TX
"Millers Creek",33.408889,-99.388611,TX
"Mineral Wells",32.8173498,-98.0430984,TX
Monticello,33.088889,-95.039722,TX
"Mountain Creek",32.719269,-96.960894,TX
Murvaul,32.034444,-94.420833,TX
Nacogdoches,31.588611,-94.825278,TX
"Natural Dam",32.22,-101.629167,TX
"Navarro Mills",31.9575,-96.689167,TX
"New Terrell City",32.7276291,-96.1721971,TX
Nocona,33.8825,-97.6525,TX
"North Fork Buffalo Creek",33.986667,-98.751667,TX
"O C Fisher",31.484444,-100.481389,TX
"O H Ivie",31.5,-99.668056,TX
"Oak Creek",32.040556,-100.268056,TX
Palestine,32.184647,-95.480289,TX
"Palo Duro",36.361442,-101.164017,TX
"Palo Pinto",32.6467959,-98.2753252,TX
"Pat Cleburne",32.288333,-97.416667,TX
"Pat Mayse",33.8534376,-95.5485703,TX
"Possum Kingdom",32.8712336,-98.4269972,TX
Proctor,31.9723674,-98.4767122,TX
"Ray Hubbard",32.7995716,-96.4949877,TX
"Ray Roberts",33.3334494,-97.0300086,TX
"Red Bluff",31.901237,-103.910753,TX
Richland-chambers,31.951944,-96.098889,TX
"Sam Rayburn",31.061111,-94.106111,TX
Somerville,30.325556,-96.5275,TX
"Squaw Creek",32.288611,-97.760278,TX
Stamford,33.0728844,-99.5611966,TX
"Stillhouse Hollow",31.0232362,-97.5308439,TX
"Sulphur Springs",33.167778,-95.641667,TX
Sweetwater,32.438611,-100.303333,TX
Tawakoni,32.808056,-95.920556,TX
Texana,28.889167,-96.583611,TX
Texoma,33.831944,-96.571111,TX
"Toledo Bend",32.0079443,-94.1332492,TX
Travis,30.391944,-97.906667,TX
"Twin Buttes",31.3782184,-100.5367626,TX
Tyler,32.241667,-95.175833,TX
Waco,31.5834984,-97.2005612,TX
Waxahachie,32.3370884,-96.8027734,TX
Weatherford,32.7709616,-97.6722495,TX
"White River",33.457778,-101.083611,TX
Whitney,31.8665468,-97.3708467,TX
Worth,32.789167,97.416111,TX
"Wright Patman",33.3048487,-94.1599119,TX
"Big Sandy",42.2503,-109.4283,WY
"Blue Mesa",38.4703,-107.2204,CO
Caballo,32.8964,-107.2934,NM
Causey,41.298333,-111.587222,UT
Crystal,38.48118,-107.58142,CO
"Currant Creek",40.33301,-111.05206,UT
"Deer Creek",40.406667,-111.526944,UT
Echo,40.96605,-111.43034,UT
Vallecito,37.37884,-107.57353,CO
"Moon Lake",40.562447,-110.489606,UT
"Lake Powell",36.936111,-111.484167,"AZ & UT"
"Flaming Gorge",40.914444,-109.421389,UT
"Rifle Gap",39.62812,-107.75951,CO
Rockport,40.79,-111.404167,UT
Scofield,39.786944,-111.12,UT
"Taylor Park",38.817222,-106.605,CO
Fontenelle,42.033333,-110.066667,WY
Hyrum,41.620278,-111.8575,UT
"Jackson Gulch",37.415551,-108.2745264,CO
Steinaker,40.5175,-109.530278,UT
"Santa Rosa",35.0283,-104.6886,NM
Lemon,37.395278,-107.661944,CO
"Morrow Point",38.446111,-107.521944,CO
Navajo,36.82,-107.603333,CO
Starvation,40.190278,-110.443889,UT
Vega,39.224444,-107.793333,CO
"Upper Stillwater",40.559722,-110.698056,UT
Strawberry,40.136667,-111.027222,UT
Stateline,40.98733,-110.38443,UT
"Silver Jack",38.23198,-107.54233,CO
Ridgway,38.23688,-107.75865,CO
"Red Fleet",40.582222,-109.432222,UT
Pineview,41.2544,-111.8421,UT
Paonia,38.94217,-107.35203,CO
Newton,41.89608,-111.97364,UT
"Meeks Cabin"41.02555,-110.58024,WY
McPhee,37.573889,-108.558056,CO
"Lost Creek",41.1844,-111.39825,UT
"Lake Sumner",34.60817,-104.38634,NM
Jordanelle,40.616667,-111.408333,UT
"Joes Valley",39.28882,-111.26977,UT
"Huntington North",39.34266,-110.94769,UT
"Elephant Butte",33.153969,-107.192113,NM
Fruitgrowers,38.8266496,-107.9556212,CO
"East Canyon",40.92,-111.600833,UT
Crawford,38.6902656,-107.6075577,CO
