reservoir,lat,lng,state
"American Falls",42.780833,-112.875556,ID
"Anderson Ranch",43.358333,-115.444444,ID
Arrowrock,43.595556,-115.922222,ID
"Lake Cascade",44.524,-116.051,ID
Deadwood,44.294,-115.646,ID
"Black Canyon",43.93046,-116.43635,ID
"Island Park",44.418589, -111.396528,ID
"Lake Lowell",43.56034,-116.6532,ID
"Lucky Peak Lake",43.525278,-116.043333,ID
"Mann Creek",44.39138,-116.89585,ID
Milner,42.524444,-114.009722,ID
"Lake Walcott",42.669444,-113.483611,ID
Palisades,43.333056,-111.202778,ID
"Reservoir A",46.371111,116.8575,ID
"Ririe Lake",43.58167,-111.74167,ID
"Soldiers Meadow",46.167222,-116.736667,ID
"Little Wood",43.425278,-114.027222,ID
"Henrys Lake",44.597222,-111.353611,ID
"Mud Lake",43.891389,-112.358056,ID
