reservoir,lat,lng,state
"Big Sandy",42.2503,-109.4283,WY
"Blue Mesa",38.4703,-107.2204,CO
Caballo,32.8964,-107.2934,NM
Causey,41.298333,-111.587222,UT
Crystal,38.48118,-107.58142,CO
"Currant Creek",40.33301,-111.05206,UT
"Deer Creek",40.406667,-111.526944,UT
Echo,40.96605,-111.43034,UT
Vallecito,37.37884,-107.57353,CO
"Moon Lake",40.562447,-110.489606,UT
"Lake Powell",36.936111,-111.484167,"AZ & UT"
"Flaming Gorge",40.914444,-109.421389,UT
"Rifle Gap,39.62812,-107.75951,CO
Rockport,40.79,-111.404167,UT
Scofield,39.786944,-111.12,UT
"Taylor Park",38.817222,-106.605,CO
Fontenelle,42.033333,-110.066667,WY
Hyrum,41.620278,-111.8575,UT
"Jackson Gulch",37.415551,-108.2745264,CO
Steinaker,40.5175,-109.530278,UT
"Santa Rosa",35.0283,-104.6886,NM
Lemon,37.395278,-107.661944,CO
"Morrow Point",38.446111,-107.521944,CO
Navajo,36.82,-107.603333,CO
